chr	start	end	gene	strand	exon	transcript_ID
chrX	67545147	67546762	AR	+	1	NM_000044
chrX	67643256	67643407	AR	+	2	NM_000044
chrX	67686010	67686126	AR	+	3	NM_000044
chrX	67711402	67711689	AR	+	4	NM_000044
chrX	67717478	67717622	AR	+	5	NM_000044
chrX	67721833	67721963	AR	+	6	NM_000044
chrX	67722827	67722984	AR	+	7	NM_000044
chrX	67723686	67723841	AR	+	8	NM_000044
chr7	116699085	116700284	MET	+	2	NM_000245
chr7	116731668	116731859	MET	+	3	NM_000245
chr7	116739950	116740084	MET	+	4	NM_000245
chr7	116740852	116741025	MET	+	5	NM_000245
chr7	116755355	116755515	MET	+	6	NM_000245
chr7	116757437	116757539	MET	+	7	NM_000245
chr7	116757638	116757774	MET	+	8	NM_000245
chr7	116758459	116758620	MET	+	9	NM_000245
chr7	116759391	116759490	MET	+	10	NM_000245
chr7	116763050	116763268	MET	+	11	NM_000245
chr7	116769645	116769791	MET	+	12	NM_000245
chr7	116771498	116771654	MET	+	13	NM_000245
chr7	116771849	116771989	MET	+	14	NM_000245
chr7	116774881	116775111	MET	+	15	NM_000245
chr7	116777389	116777469	MET	+	16	NM_000245
chr7	116778776	116778957	MET	+	17	NM_000245
chr7	116781988	116782097	MET	+	18	NM_000245
chr7	116783304	116783469	MET	+	19	NM_000245
chr7	116795655	116795791	MET	+	20	NM_000245
chr7	116795887	116796124	MET	+	21	NM_000245
