chr	start	end	gene	strand	exon	transcript_ID
chr7	55019278	55019365	EGFR	+	1	NM_005228
chr7	55142286	55142437	EGFR	+	2	NM_005228
chr7	55143305	55143488	EGFR	+	3	NM_005228
chr7	55146606	55146740	EGFR	+	4	NM_005228
chr7	55151294	55151362	EGFR	+	5	NM_005228
chr7	55152546	55152664	EGFR	+	6	NM_005228
chr7	55154011	55154152	EGFR	+	7	NM_005228
chr7	55155830	55155946	EGFR	+	8	NM_005228
chr7	55156533	55156659	EGFR	+	9	NM_005228
chr7	55156759	55156832	EGFR	+	10	NM_005228
chr7	55157663	55157753	EGFR	+	11	NM_005228
chr7	55160139	55160338	EGFR	+	12	NM_005228
chr7	55161499	55161631	EGFR	+	13	NM_005228
chr7	55163733	55163823	EGFR	+	14	NM_005228
chr7	55165280	55165437	EGFR	+	15	NM_005228
chr7	55171175	55171213	EGFR	+	16	NM_005228
chr7	55172983	55173124	EGFR	+	17	NM_005228
chr7	55173921	55174043	EGFR	+	18	NM_005228
chr7	55174722	55174820	EGFR	+	19	NM_005228
chr7	55181293	55181478	EGFR	+	20	NM_005228
chr7	55191719	55191874	EGFR	+	21	NM_005228
chr7	55192766	55192841	EGFR	+	22	NM_005228
chr7	55198717	55198863	EGFR	+	23	NM_005228
chr7	55200316	55200413	EGFR	+	24	NM_005228
chr7	55201188	55201355	EGFR	+	25	NM_005228
chr7	55201735	55201782	EGFR	+	26	NM_005228
chr7	55202517	55202625	EGFR	+	27	NM_005228
chr7	55205256	55205617	EGFR	+	28	NM_005228
